Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.48284313725490197,0.7083333333333334,-0.03463315677211797,0.46875,0.23958333333333334,0.48148148148148145,0.4855072463768116,0.4456140350877193,0.23426573426573427,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
1,0.4689655172413793,0.5034722222222222,0.007303680976412843,0.2604166666666667,0.24305555555555555,0.4866666666666667,0.45,0.25263157894736843,0.21678321678321677,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
2,0.56,0.5208333333333334,0.16273009125617185,0.2829861111111111,0.2378472222222222,0.588957055214724,0.5255474452554745,0.3263157894736842,0.24825174825174826,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
3,0.4479166666666667,0.5,-0.010889355850541304,0.2621527777777778,0.2378472222222222,0.4768211920529801,0.41605839416058393,0.24561403508771928,0.1993006993006993,0.6041666666666666,1.0,0.019243857232368697,0.0,1.0,0,0.6041666666666666,0.0,1.0,0.5416666666666666,1.0,-0.025344965975397742,0.0,1.0,0,0.5416666666666666,0.0,1.0
4,0.5278396436525612,0.7795138888888888,0.17619762154693913,0.3055555555555556,0.4739583333333333,0.5227272727272727,0.5311355311355311,0.3192982456140351,0.4965034965034965,0.6041666666666666,1.0,0.019243857232368697,0.0,1.0,0,0.6041666666666666,0.0,1.0,0.5416666666666666,1.0,-0.025344965975397742,0.0,1.0,0,0.5416666666666666,0.0,1.0
5,0.5126436781609195,0.7552083333333334,0.018932433308992466,0.2743055555555556,0.4809027777777778,0.5126582278481012,0.5126353790613718,0.28421052631578947,0.48951048951048953,0.6041666666666666,1.0,0.019243857232368697,0.0,1.0,0,0.6041666666666666,0.0,1.0,0.5416666666666666,1.0,-0.025344965975397742,0.0,1.0,0,0.5416666666666666,0.0,1.0
6,0.5246252676659529,0.8107638888888888,0.04349105592196321,0.2899305555555556,0.5208333333333334,0.49101796407185627,0.5433333333333333,0.28771929824561404,0.5594405594405595,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
7,0.4859154929577465,0.4930555555555556,-0.026167850358327676,0.2586805555555556,0.234375,0.4563758389261745,0.5185185185185185,0.23859649122807017,0.23776223776223776,0.3958333333333333,1.0,-0.019243857232368697,1.0,0.0,0.3958333333333333,0,1.0,0.0,0.4583333333333333,1.0,0.025344965975397742,1.0,0.0,0.4583333333333333,0,1.0,0.0
8,0.47619047619047616,0.8020833333333334,-0.050232392773801655,0.5625,0.23958333333333334,0.4722222222222222,0.4855072463768116,0.5333333333333333,0.23426573426573427,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
9,0.49836065573770494,0.5295138888888888,0.03274521213967571,0.2986111111111111,0.2309027777777778,0.48255813953488375,0.518796992481203,0.2912280701754386,0.23076923076923078,0.3958333333333333,1.0,-0.019243857232368697,1.0,0.0,0.3958333333333333,0,1.0,0.0,0.4583333333333333,1.0,0.025344965975397742,1.0,0.0,0.4583333333333333,0,1.0,0.0
10,0.5042735042735043,0.8125,0.009366116656861479,0.5555555555555556,0.2569444444444444,0.5,0.5135135135135135,0.5473684210526316,0.26223776223776224,0.3958333333333333,1.0,-0.019243857232368697,1.0,0.0,0.3958333333333333,0,1.0,0.0,0.4583333333333333,1.0,0.025344965975397742,1.0,0.0,0.4583333333333333,0,1.0,0.0
11,0.46320346320346323,0.8020833333333334,-0.13306045823859766,0.5381944444444444,0.2638888888888889,0.4645161290322581,0.4605263157894737,0.49473684210526314,0.23776223776223776,0.3958333333333333,1.0,-0.019243857232368697,1.0,0.0,0.3958333333333333,0,1.0,0.0,0.4583333333333333,1.0,0.025344965975397742,1.0,0.0,0.4583333333333333,0,1.0,0.0
12,0.5185995623632386,0.7934027777777778,0.02642012786465761,0.5243055555555556,0.2690972222222222,0.5198675496688742,0.5161290322580645,0.5368421052631579,0.27972027972027974,0.3958333333333333,1.0,-0.019243857232368697,1.0,0.0,0.3958333333333333,0,1.0,0.0,0.4583333333333333,1.0,0.025344965975397742,1.0,0.0,0.4583333333333333,0,1.0,0.0
13,0.47438752783964366,0.7795138888888888,-0.07316089938294192,0.5503472222222222,0.22916666666666666,0.49842271293375395,0.4166666666666667,0.5403508771929825,0.1888111888111888,0.3958333333333333,1.0,-0.019243857232368697,1.0,0.0,0.3958333333333333,0,1.0,0.0,0.4583333333333333,1.0,0.025344965975397742,1.0,0.0,0.4583333333333333,0,1.0,0.0
14,0.5,0.7986111111111112,-0.019810878751494784,0.5503472222222222,0.2482638888888889,0.4952681388012618,0.5104895104895105,0.543859649122807,0.2517482517482518,0.6041666666666666,1.0,0.019243857232368697,0.0,1.0,0,0.6041666666666666,0.0,1.0,0.5416666666666666,1.0,-0.025344965975397742,0.0,1.0,0,0.5416666666666666,0.0,1.0
15,0.5472103004291845,0.8090277777777778,0.06643586169472875,0.2881944444444444,0.5208333333333334,0.5662650602409639,0.5366666666666666,0.3263157894736842,0.5524475524475524,0.3958333333333333,1.0,-0.019243857232368697,1.0,0.0,0.3958333333333333,0,1.0,0.0,0.4583333333333333,1.0,0.025344965975397742,1.0,0.0,0.4583333333333333,0,1.0,0.0
16,0.5046728971962616,0.7430555555555556,0.01082210212066511,0.5277777777777778,0.2152777777777778,0.4901315789473684,0.5403225806451613,0.512280701754386,0.23426573426573427,0.6041666666666666,1.0,0.019243857232368697,0.0,1.0,0,0.6041666666666666,0.0,1.0,0.5416666666666666,1.0,-0.025344965975397742,0.0,1.0,0,0.5416666666666666,0.0,1.0
