Date,Time,Open,High,Low,Close
01/03/2016,17:00,1.08701,1.08713,1.08701,1.08713
01/04/2016,17:00,1.08285,1.08285,1.08282,1.08283
01/05/2016,17:00,1.0746,1.0748,1.0742,1.07477
01/06/2016,17:00,1.07795,1.07805,1.07781,1.07781
01/07/2016,17:00,1.09283,1.09307,1.09267,1.09307
01/08/2016,17:00,1.09238,1.09253,1.09213,1.09218
01/09/2016,17:00,1.09238,1.09253,1.09213,1.09218
01/10/2016,17:00,1.0917,1.09193,1.09169,1.09193
01/11/2016,17:00,1.08584,1.08584,1.08572,1.08584
01/12/2016,17:00,1.08566,1.08604,1.08559,1.08575
01/13/2016,17:00,1.08754,1.08768,1.08737,1.08746
01/14/2016,17:00,1.0864,1.08653,1.0864,1.08653
01/15/2016,17:00,1.09113,1.09146,1.09088,1.09139
01/16/2016,17:00,1.09113,1.09146,1.09088,1.09139
01/17/2016,17:00,1.09228,1.09239,1.09228,1.09236
01/18/2016,17:00,1.08904,1.08921,1.08899,1.0892
01/19/2016,17:00,1.09056,1.09071,1.09056,1.09069
01/20/2016,17:00,1.08886,1.08886,1.08862,1.08882
01/21/2016,17:00,1.08731,1.08732,1.08731,1.08732
01/22/2016,17:00,1.0796,1.07964,1.07954,1.07954
01/23/2016,17:00,1.0796,1.07964,1.07954,1.07954
01/24/2016,17:00,1.07913,1.07933,1.07882,1.07899
01/25/2016,17:00,1.08486,1.08486,1.08462,1.08475
01/26/2016,17:00,1.0869,1.08703,1.08663,1.08663
01/27/2016,17:00,1.08912,1.0893,1.08912,1.08926
01/28/2016,17:00,1.09382,1.09393,1.0938,1.09383
01/29/2016,17:00,1.08289,1.08296,1.0828,1.0828
01/30/2016,17:00,1.08289,1.08296,1.0828,1.0828
01/31/2016,17:00,1.08302,1.08302,1.08297,1.083
02/01/2016,17:00,1.08878,1.08878,1.08836,1.08857
02/02/2016,17:00,1.09163,1.0917,1.09163,1.09163
02/03/2016,17:00,1.11027,1.11045,1.11025,1.11045
02/04/2016,17:00,1.1209,1.1209,1.12058,1.12065
02/05/2016,17:00,1.11565,1.11572,1.1154,1.11541
02/06/2016,17:00,1.11565,1.11572,1.1154,1.11541
02/07/2016,17:00,1.11408,1.11424,1.11408,1.11424
02/08/2016,17:00,1.1192,1.11922,1.11914,1.11922
02/09/2016,17:00,1.12902,1.12918,1.12902,1.12914
02/10/2016,17:00,1.12899,1.12899,1.1289,1.1289
02/11/2016,17:00,1.13223,1.13242,1.13187,1.13203
02/12/2016,17:00,1.12536,1.12541,1.12527,1.1253
02/13/2016,17:00,1.12536,1.12541,1.12527,1.1253
02/14/2016,17:00,1.12346,1.12355,1.12346,1.12353
02/15/2016,17:00,1.11527,1.11537,1.11527,1.11536
02/16/2016,17:00,1.11431,1.11434,1.11415,1.11434
02/17/2016,17:00,1.11253,1.11274,1.11248,1.1125
02/18/2016,17:00,1.11051,1.11066,1.11042,1.1106
02/19/2016,17:00,1.11298,1.113,1.11266,1.11273
02/20/2016,17:00,1.11298,1.113,1.11266,1.11273
02/21/2016,17:00,1.11089,1.11115,1.11089,1.11114
02/22/2016,17:00,1.10284,1.10289,1.10273,1.10285
02/23/2016,17:00,1.10184,1.10186,1.10171,1.10184
02/24/2016,17:00,1.10121,1.10144,1.10121,1.10134
02/25/2016,17:00,1.10184,1.10184,1.10156,1.10158
02/26/2016,17:00,1.09284,1.09315,1.09271,1.09292
02/27/2016,17:00,1.09284,1.09315,1.09271,1.09292
02/28/2016,17:00,1.0912,1.09146,1.0912,1.09146
02/29/2016,17:00,1.08721,1.08752,1.08704,1.08752
03/01/2016,17:00,1.08653,1.08668,1.0865,1.08664
03/02/2016,17:00,1.08674,1.08698,1.08656,1.08685
03/03/2016,17:00,1.09539,1.09561,1.09539,1.09557
03/04/2016,17:00,1.10047,1.10065,1.10014,1.10028
03/05/2016,17:00,1.10047,1.10065,1.10014,1.10028
03/06/2016,17:00,1.09884,1.09884,1.09879,1.09881
03/07/2016,17:00,1.10132,1.10132,1.1011,1.10126
03/08/2016,17:00,1.10102,1.10105,1.10086,1.10098
03/09/2016,17:00,1.0998,1.09989,1.09969,1.09987
03/10/2016,17:00,1.11768,1.11804,1.11768,1.11804
03/11/2016,17:00,1.11462,1.11537,1.11458,1.11537
03/12/2016,17:00,1.11462,1.11537,1.11458,1.11537
03/13/2016,17:00,1.11372,1.11418,1.11354,1.11381
03/14/2016,17:00,1.11009,1.11015,1.11005,1.11015
03/15/2016,17:00,1.11082,1.11089,1.11068,1.11089
03/16/2016,17:00,1.1222,1.12281,1.1222,1.12234
03/17/2016,17:00,1.13175,1.13182,1.13151,1.13161
03/18/2016,17:00,1.1269,1.12702,1.12683,1.12693
03/19/2016,17:00,1.1269,1.12702,1.12683,1.12693
03/20/2016,17:00,1.12637,1.12637,1.12576,1.12629
03/21/2016,17:00,1.12409,1.12412,1.12382,1.12382
03/22/2016,17:00,1.12172,1.12174,1.12159,1.12174
03/23/2016,17:00,1.11802,1.11807,1.11784,1.11797
03/24/2016,17:00,1.11744,1.11754,1.1173,1.11737
03/25/2016,17:00,1.11629,1.11635,1.11601,1.11622
03/26/2016,17:00,1.11629,1.11635,1.11601,1.11622
03/27/2016,17:00,1.11604,1.11604,1.11604,1.11604
03/28/2016,17:00,1.1196,1.1196,1.11932,1.11947
03/29/2016,17:00,1.12907,1.12942,1.1288,1.12911
03/30/2016,17:00,1.13362,1.13364,1.13362,1.13363
03/31/2016,17:00,1.13782,1.13787,1.13782,1.13787
04/01/2016,17:00,1.13924,1.13944,1.13924,1.1394
04/02/2016,17:00,1.13924,1.13944,1.13924,1.1394
04/03/2016,17:00,1.14,1.14003,1.14,1.14002
04/04/2016,17:00,1.13888,1.13899,1.13875,1.13892
04/05/2016,17:00,1.13823,1.13823,1.13823,1.13823
04/06/2016,17:00,1.13989,1.14004,1.13967,1.13989
04/07/2016,17:00,1.13765,1.13765,1.13752,1.13752
04/08/2016,17:00,1.13938,1.13941,1.13919,1.13919
04/09/2016,17:00,1.13938,1.13941,1.13919,1.13919
04/10/2016,17:00,1.1413,1.14145,1.14127,1.14139
04/11/2016,17:00,1.14062,1.14062,1.14038,1.14052
04/12/2016,17:00,1.13857,1.13859,1.13829,1.13856
04/13/2016,17:00,1.12724,1.12739,1.12723,1.12736
04/14/2016,17:00,1.12665,1.12688,1.1263,1.12674
04/15/2016,17:00,1.12836,1.12842,1.12823,1.12834
04/16/2016,17:00,1.12836,1.12842,1.12823,1.12834
04/17/2016,17:00,1.13008,1.13008,1.12985,1.12991
04/18/2016,17:00,1.13101,1.13112,1.13101,1.1311
04/19/2016,17:00,1.13568,1.13586,1.13557,1.13582
