Date,Time,Open,High,Low,Close,Volume
01/03/2016,17:00,1.08701,1.08713,1.08701,1.08713,0
01/10/2016,17:00,1.0917,1.09193,1.09169,1.09193,0
01/17/2016,17:00,1.09228,1.09239,1.09228,1.09236,0
01/24/2016,17:00,1.07913,1.07933,1.07882,1.07899,0
01/31/2016,17:00,1.08302,1.08302,1.08297,1.083,0
02/07/2016,17:00,1.11408,1.11424,1.11408,1.11424,0
02/14/2016,17:00,1.12346,1.12355,1.12346,1.12353,0
02/21/2016,17:00,1.11089,1.11115,1.11089,1.11114,0
02/28/2016,17:00,1.0912,1.09146,1.0912,1.09146,0
03/06/2016,17:00,1.09884,1.09884,1.09879,1.09881,0
03/13/2016,17:00,1.11372,1.11418,1.11354,1.11381,0
03/20/2016,17:00,1.12637,1.12637,1.12576,1.12629,0
03/27/2016,17:00,1.11604,1.11604,1.11604,1.11604,0
04/03/2016,17:00,1.14,1.14003,1.14,1.14002,0
04/10/2016,17:00,1.1413,1.14145,1.14127,1.14139,0
04/17/2016,17:00,1.13008,1.13008,1.12985,1.12991,0
04/24/2016,17:00,1.12177,1.12189,1.12177,1.12187,0
05/01/2016,17:00,1.14596,1.14629,1.14589,1.14591,0
05/08/2016,17:00,1.13959,1.13962,1.13957,1.13962,0
05/15/2016,17:00,1.13114,1.13144,1.13114,1.13123,0
05/22/2016,17:00,1.1206,1.12095,1.1206,1.1209,0
05/29/2016,17:00,1.11127,1.11128,1.11125,1.11125,0
06/05/2016,17:00,1.13538,1.13538,1.13527,1.13537,0
06/12/2016,17:00,1.12488,1.12488,1.12483,1.12485,0
06/19/2016,17:00,1.13291,1.13319,1.13291,1.13313,0
06/26/2016,17:00,1.1007,1.10079,1.10047,1.10076,0
07/03/2016,17:00,1.11392,1.11396,1.11338,1.11338,0
07/10/2016,17:00,1.10475,1.10478,1.10475,1.10478,0
07/17/2016,17:00,1.10469,1.10502,1.10469,1.10495,0
07/24/2016,17:00,1.09725,1.09725,1.09725,1.09725,0
07/31/2016,17:00,1.11725,1.11725,1.11725,1.11725,0
08/07/2016,17:00,1.10785,1.10791,1.10785,1.10791,0
08/14/2016,17:00,1.11673,1.11673,1.11669,1.11669,0
08/21/2016,17:00,1.13227,1.13233,1.13219,1.13228,0
08/28/2016,17:00,1.11777,1.11832,1.11773,1.11832,0
